State,Year,Slab,MultiBeam,GirderFloorBeamSystem,TeaBeam,BoxBeamMultiple,ArchDeck,Culvert,TrussThru,Frame,BoxBeamSingle,TrussDeck
DELAWARE,2010,0.07085788866947915,0.21657429219066002,0.11003643066052714,0.08809059446148752,0.15743187153267793,0.7682967664914758,0.08084564647303188,0.01949541465947534,0.0,0.7967555745027896,1.0
DIST. OF COL.,2010,0.34917355371900827,0.7363988928436926,0.7559793405773159,1.0,0.522447716205403,0.857000723243695,0.0,0.0,0.577879920501991,1.0,0.0
FLORIDA,2010,0.14573527586223772,0.1569582905459351,0.6263214621721191,0.5793573121517682,0.06988545315494402,0.44704422493414897,0.11446921780249807,0.7295282322233148,0.40907077195702735,0.1287274625503681,0.0
GEORGIA,2010,0.30124150089670626,0.16525627599613504,0.586207353599279,0.1605995513007651,0.08077435899402619,0.46765644591359856,0.14157220428993136,0.9921734218241608,0.36735749850503946,0.11279045068958411,0.9181831932860771
HAWAII,2010,0.4738131145003223,0.07596410051847843,0.4901818536643312,0.4885380227622935,0.16110167089607225,0.7999764876337663,0.17100396231201562,0.9633167201780428,0.3514549040462621,0.0,0.05924593191733273
IDAHO,2010,0.12574515749848472,0.2177906069272743,0.17305478341730088,0.20403094535114,0.06091634993414126,0.16040521108276068,0.05983095885582781,0.807147073206684,0.10204912459080834,0.5349717972587128,0.1712703304007988
ILLINOIS,2010,0.2628682273689044,0.3026888822432281,0.7115031191585162,0.3431957530050611,0.10965584475708202,0.6432780800710038,0.08774774016792349,0.6907806158904223,0.32785508777924394,0.04069964796135946,0.021306971139673725
INDIANA,2010,0.10339977108296936,0.27240553702366416,0.37965349554270333,0.17216700356333675,0.1883234532835181,0.4613183432398542,0.35479239763163783,0.6899812038216752,0.24505433495807513,0.08867388111337476,0.7835166241484286
IOWA,2010,0.09722201588987257,0.20258332553453015,0.5133485685837528,0.1667205606857894,0.35074489571985557,0.5236161744479187,0.610611080886342,0.816387415472661,0.3957551536547628,0.0,1.0
KANSAS,2010,0.09085901876575177,0.17747385606007685,0.4419720903292266,0.1254919914282421,0.4563651950604491,0.4683292392118814,0.07488022337694766,0.8601036989461834,0.040270623673218736,0.8222944602465123,0.9974991907329546
KENTUCKY,2010,0.46986337124179595,0.18985799397742598,0.20734230443916865,0.38305438739449227,0.2607001461086601,0.7727302428657022,0.34613548723768217,0.5929351009149718,0.14953326557735908,0.19834031312536407,0.9932574800952418
LOUISIANA,2010,0.181477356001845,0.2307946913140276,0.5522981024998053,0.6517698778515154,0.09027080856120925,0.11492383577646278,0.2618096121493333,0.5354649812849984,0.0,0.0,0.420731333053717
MAINE,2010,0.3066229571737746,0.31798079553521136,0.5326536693375133,0.3783416940700857,0.4795705544988758,0.20069066908478894,0.1739577216676453,0.41650406224316444,0.45517570290074705,0.48860036354193714,0.2061582562801828
MARYLAND,2010,0.3132343603317643,0.2556235062795216,0.3170295550249796,0.48961425249305696,0.5859424798429519,0.5048924281051651,0.1772068559123514,0.7599092067525972,0.3152200335199819,0.6000600864158278,0.24108498530579817
MASSACHUSETTS,2010,0.4937407173345506,0.6054911718442552,0.7040278867224345,0.4824689013066963,0.7899044130981869,0.734744497839459,0.2486107692624635,0.9460023953840778,0.6526475452674692,0.4299199955442874,0.6407540797354462
MICHIGAN,2010,0.2674835773478238,0.3886687869364451,0.47164204925130676,0.3200429673499343,0.19229590301130858,0.43890678347819106,0.1901337137701994,0.4942399087925156,0.7638219097832455,0.1890605361801219,0.04542850275109731
MINNESOTA,2010,0.09991829261748658,0.09982299305587915,0.4940650529053402,0.16544319899831497,0.20627402271445397,0.3242537793728129,0.11461763354813229,0.34161098666842454,0.1365540482876697,0.0,0.21498746204478122
MISSISSIPPI,2010,0.19299545879839766,0.13270010904450827,0.3776912676775558,0.5736866067567911,0.08259376005619122,0.5473621700636202,0.1215388763896545,0.7562685947886698,0.6003549241963325,0.32721266823145023,0.0
MISSOURI,2010,0.32164600376231167,0.23712680907310804,0.7106879913295133,0.2803507510541382,0.14190187436436555,0.7989178194118286,0.12399757024647634,0.6123291324872802,0.2775200267604211,0.642641320086115,0.941739516016545
MONTANA,2010,0.34294646193258466,0.16799311745777507,0.514734526255985,0.09416672394767399,0.006994003901835059,0.16094022349204917,0.040120467389992795,0.6386293342199393,0.04014410328621327,0.0,0.287535348861124
NEBRASKA,2010,0.05340223174061788,0.17647955102601787,0.7603735728860074,0.029498034248172284,0.1203222397622992,0.46310133285179533,0.0658054725395451,0.8319306512651533,0.4677663012360376,0.5975786939386798,0.44615912208504804
NEVADA,2010,0.2031818206484238,0.2547363554363006,0.14527618659749092,0.3147936384315476,0.13878245611287404,0.1469396150988642,0.03266500861259734,1.0,0.5527553726765697,0.12755381786084635,0.0
